Species,Number of Images
Butterfly-Clippers, 50
Butterfly-Common Jay, 250
Butterfly-Common Lime, 250
Butterfly-Common Mime, 250
Butterfly-Common Mormon, 250
Butterfly-Emerald Swallowtail,250
BUtterfly-Golden Birdwing, 250
Butterfly-Gray Glassy Tiger, 250
Butterfly-Great Eggfly, 250
Butterfly-Great Yellow Mormon, 250 
Butterfly-Paper Kite, 250
Butterfly-Pink Rose, 250
Butterfly-Plain Tiger, 250
Butterfly-Red Lacewing, 250
Butterfly-Scarlet Mormon, 250
Butterfly-Tailed Jay, 250
Moth-Atlas, 250
Moth-Giant Silk, 250